category,budget_max,duration,budget_per_day,requirement_title
DevOps Engineer,6500,40,162.5,CI/CD Pipeline Configuration
Full Stack Developer,8000,38,210.53,Deployment Checklist
UI/UX Designer,8000,38,210.53,Onboarding UX Flow
UI/UX Designer,7000,40,175.0,Accessibility Requirements
Backend Developer,7000,40,175.0,Authentication and Security
UI/UX Designer,6000,55,109.09,Component Library Documentation
Mobile App Developer,7000,40,175.0,App Onboarding Flow Spec
UI/UX Designer,7500,38,197.37,Component Library Documentation
DevOps Engineer,9000,38,236.84,Observability Stack Architecture
Full Stack Developer,6500,55,118.18,API Documentation
DevOps Engineer,6500,55,118.18,Docker and Container Config
Full Stack Developer,9000,38,236.84,Performance Benchmarks
DevOps Engineer,6500,55,118.18,Disaster Recovery Plan
Mobile App Developer,5000,38,131.58,Device and OS Target List
Backend Developer,5500,40,137.5,Authentication and Security
Backend Developer,6500,55,118.18,Authentication and Security
Mobile App Developer,8500,38,223.68,Mobile Security Checklist
DevOps Engineer,7000,40,175.0,Load Testing Report
Mobile App Developer,9000,38,236.84,Analytics Event Tracking Spec
Full Stack Developer,6000,58,103.45,Performance Benchmarks
UI/UX Designer,5000,60,83.33,Usability Testing Report
Full Stack Developer,6000,55,109.09,Logging and Audit Trail Spec
Backend Developer,7000,40,175.0,Error Handling Standards
Backend Developer,4200,60,70.0,Database ERD
DevOps Engineer,9000,38,236.84,CI/CD Pipeline Configuration
Backend Developer,9000,38,236.84,API Documentation
DevOps Engineer,6000,55,109.09,Rollback Decision Playbook
Backend Developer,6500,40,162.5,Database Migration Plan
Full Stack Developer,5500,40,137.5,Authentication and Security
Full Stack Developer,6500,40,162.5,Deployment Checklist
UI/UX Designer,2200,70,31.43,User Persona Profiles
Backend Developer,4000,60,66.67,Database ERD
Backend Developer,5500,40,137.5,Error Handling Standards
Backend Developer,8500,38,223.68,Database Migration Plan
UI/UX Designer,7000,40,175.0,Component Library Documentation
Full Stack Developer,5000,60,83.33,Project Scope Statement
UI/UX Designer,7000,38,184.21,Accessibility Requirements
DevOps Engineer,6000,55,109.09,Disaster Recovery Plan
Backend Developer,5500,55,100.0,Database ERD
UI/UX Designer,2800,75,37.33,User Persona Profiles
DevOps Engineer,7500,38,197.37,Observability Stack Architecture
Mobile App Developer,4500,55,81.82,Network Error Handling Spec
Backend Developer,4200,60,70.0,API Response Envelope Standard
DevOps Engineer,6500,40,162.5,Secrets Management Policy
DevOps Engineer,6000,40,150.0,CI/CD Pipeline Configuration
DevOps Engineer,7500,38,197.37,Secrets Management Policy
Mobile App Developer,7000,38,184.21,App Accessibility Guidelines
UI/UX Designer,1500,70,21.43,Brand Style Guide
DevOps Engineer,3000,55,54.55,Environment Parity Checklist
Mobile App Developer,6500,40,162.5,App Permissions Justification
Full Stack Developer,5500,40,137.5,API Documentation
UI/UX Designer,8000,38,210.53,Component Library Documentation
Mobile App Developer,4500,60,75.0,App Store Assets Package
Frontend Developer,2200,70,31.43,Third-Party Integrations List
Backend Developer,2200,70,31.43,Health Check Endpoint Spec
DevOps Engineer,6000,55,109.09,Docker and Container Config
UI/UX Designer,6000,55,109.09,Figma or XD Source Files
Backend Developer,2400,75,32.0,Health Check Endpoint Spec
Mobile App Developer,5500,40,137.5,App Onboarding Flow Spec
Full Stack Developer,6500,40,162.5,Payment Gateway Integration Doc
UI/UX Designer,6500,55,118.18,Accessibility Requirements
DevOps Engineer,7000,40,175.0,Disaster Recovery Plan
Full Stack Developer,8500,38,223.68,Performance Benchmarks
Full Stack Developer,4500,55,81.82,Database ERD
Full Stack Developer,7000,40,175.0,Authentication and Security
UI/UX Designer,6000,40,150.0,Figma or XD Source Files
UI/UX Designer,800,60,13.33,Brand Style Guide
Backend Developer,5500,58,94.83,API Response Envelope Standard
DevOps Engineer,8500,38,223.68,Observability Stack Architecture
Mobile App Developer,3800,60,63.33,Push Notification Plan
UI/UX Designer,6000,40,150.0,Onboarding UX Flow
Full Stack Developer,9000,38,236.84,Admin Panel Requirements
Mobile App Developer,6000,55,109.09,App Permissions Justification
DevOps Engineer,6000,58,103.45,Network Topology Diagram
DevOps Engineer,6000,40,150.0,Load Testing Report
DevOps Engineer,9000,38,236.84,Disaster Recovery Plan
DevOps Engineer,6000,55,109.09,Infrastructure Architecture
DevOps Engineer,7000,40,175.0,CI/CD Pipeline Configuration
Mobile App Developer,4500,60,75.0,Network Error Handling Spec
Mobile App Developer,1000,70,14.29,Push Notification Plan
Frontend Developer,6000,55,109.09,Component Testing Standards
Full Stack Developer,2500,70,35.71,Project Scope Statement
Backend Developer,5500,40,137.5,Data Retention Policy
Mobile App Developer,7500,38,197.37,Mobile Security Checklist
Frontend Developer,6500,58,112.07,Browser Compatibility Matrix
Mobile App Developer,6000,58,103.45,Deep Linking Configuration
Backend Developer,6500,55,118.18,GDPR Compliance Checklist
DevOps Engineer,5500,40,137.5,Infrastructure Architecture
DevOps Engineer,7000,38,184.21,CI/CD Pipeline Configuration
DevOps Engineer,6000,40,150.0,Observability Stack Architecture
Frontend Developer,9000,38,236.84,Component Testing Standards
Mobile App Developer,6500,58,112.07,Network Error Handling Spec
Full Stack Developer,800,60,13.33,Project Scope Statement
Mobile App Developer,8500,38,223.68,App Onboarding Flow Spec
UI/UX Designer,4500,60,75.0,Usability Testing Report
Mobile App Developer,3500,60,58.33,Network Error Handling Spec
DevOps Engineer,7000,40,175.0,Docker and Container Config
Backend Developer,4000,60,66.67,Rate Limiting Policy
UI/UX Designer,3500,80,43.75,Brand Style Guide
UI/UX Designer,1000,70,14.29,User Persona Profiles
DevOps Engineer,7500,38,197.37,CI/CD Pipeline Configuration
Backend Developer,3500,60,58.33,API Response Envelope Standard
Frontend Developer,3800,60,63.33,Project Scope Statement
DevOps Engineer,6500,40,162.5,Disaster Recovery Plan
Mobile App Developer,7000,40,175.0,Deep Linking Configuration
Frontend Developer,1500,70,21.43,SEO and Keywords Strategy
Mobile App Developer,8000,38,210.53,App Onboarding Flow Spec
UI/UX Designer,3500,60,58.33,User Persona Profiles
Mobile App Developer,6000,55,109.09,App Store Assets Package
Frontend Developer,6500,58,112.07,Responsive Design Spec
Frontend Developer,5500,58,94.83,Browser Compatibility Matrix
Backend Developer,7500,38,197.37,Database Migration Plan
Backend Developer,6500,55,118.18,API Documentation
Frontend Developer,4200,60,70.0,Browser Compatibility Matrix
DevOps Engineer,7500,38,197.37,Docker and Container Config
Backend Developer,1500,70,21.43,Health Check Endpoint Spec
Mobile App Developer,6000,38,157.89,Device and OS Target List
UI/UX Designer,7000,40,175.0,Figma or XD Source Files
Full Stack Developer,6000,58,103.45,Deployment Checklist
UI/UX Designer,8500,38,223.68,Accessibility Requirements
UI/UX Designer,3000,80,37.5,Brand Style Guide
Mobile App Developer,6000,40,150.0,App Accessibility Guidelines
Mobile App Developer,4500,55,81.82,App Store Assets Package
Backend Developer,7000,40,175.0,API Documentation
Frontend Developer,4000,60,66.67,State Management Plan
UI/UX Designer,5500,40,137.5,Onboarding UX Flow
Backend Developer,5500,58,94.83,Database ERD
DevOps Engineer,4200,60,70.0,Environment Parity Checklist
Mobile App Developer,6000,40,150.0,Mobile Security Checklist
Frontend Developer,4500,60,75.0,State Management Plan
Frontend Developer,6500,55,118.18,Performance Benchmarks
Backend Developer,6000,58,103.45,Data Retention Policy
Frontend Developer,4500,60,75.0,Responsive Design Spec
Mobile App Developer,3000,55,54.55,App Store Assets Package
UI/UX Designer,7000,38,184.21,Figma or XD Source Files
Backend Developer,7000,38,184.21,Error Handling Standards
Backend Developer,3000,55,54.55,API Response Envelope Standard
Frontend Developer,6000,40,150.0,UI Component Specifications
Full Stack Developer,6000,55,109.09,Admin Panel Requirements
Full Stack Developer,7000,38,184.21,Deployment Checklist
Full Stack Developer,8000,38,210.53,Project Scope Statement
UI/UX Designer,4200,55,76.36,Usability Testing Report
UI/UX Designer,9000,38,236.84,Design Tokens Export
DevOps Engineer,8000,38,210.53,Network Topology Diagram
Full Stack Developer,6500,40,162.5,API Documentation
Backend Developer,8000,38,210.53,Database Migration Plan
Backend Developer,6500,40,162.5,Data Retention Policy
Mobile App Developer,4200,60,70.0,Network Error Handling Spec
UI/UX Designer,2400,75,32.0,User Persona Profiles
UI/UX Designer,7500,38,197.37,Onboarding UX Flow
Frontend Developer,3500,75,46.67,SEO and Keywords Strategy
Mobile App Developer,6000,55,109.09,App Onboarding Flow Spec
UI/UX Designer,2400,75,32.0,Brand Style Guide
Frontend Developer,1800,75,24.0,Project Scope Statement
DevOps Engineer,9000,38,236.84,Load Testing Report
Mobile App Developer,5500,55,100.0,Network Error Handling Spec
Frontend Developer,7500,38,197.37,Frontend Tech Stack Agreement
Backend Developer,3500,60,58.33,Rate Limiting Policy
Frontend Developer,6000,55,109.09,Browser Compatibility Matrix
Mobile App Developer,6000,40,150.0,App Permissions Justification
UI/UX Designer,7000,38,184.21,Prototype Link and Credentials
UI/UX Designer,8500,38,223.68,Design Tokens Export
UI/UX Designer,4500,55,81.82,Wireframes and Mockups
Frontend Developer,7000,38,184.21,Component Testing Standards
Full Stack Developer,5500,40,137.5,Admin Panel Requirements
Mobile App Developer,6000,58,103.45,App Onboarding Flow Spec
Full Stack Developer,8000,38,210.53,Admin Panel Requirements
Full Stack Developer,1800,75,24.0,Project Scope Statement
Frontend Developer,6000,55,109.09,Performance Benchmarks
Full Stack Developer,5500,40,137.5,Payment Gateway Integration Doc
DevOps Engineer,6000,58,103.45,CI/CD Pipeline Configuration
UI/UX Designer,1800,75,24.0,Brand Style Guide
Full Stack Developer,8000,38,210.53,API Documentation
Backend Developer,8500,38,223.68,Data Retention Policy
DevOps Engineer,6500,40,162.5,Network Topology Diagram
DevOps Engineer,8500,38,223.68,Disaster Recovery Plan
Mobile App Developer,3800,60,63.33,Device and OS Target List
DevOps Engineer,4500,55,81.82,Environment Parity Checklist
Mobile App Developer,6000,58,103.45,App Permissions Justification
Full Stack Developer,3500,80,43.75,Project Scope Statement
Mobile App Developer,6500,55,118.18,App Onboarding Flow Spec
Mobile App Developer,6000,55,109.09,Network Error Handling Spec
Backend Developer,8000,38,210.53,Error Handling Standards
UI/UX Designer,7000,38,184.21,Onboarding UX Flow
DevOps Engineer,8000,38,210.53,Observability Stack Architecture
Mobile App Developer,7000,40,175.0,App Permissions Justification
Frontend Developer,8500,38,223.68,UI Component Specifications
UI/UX Designer,7000,40,175.0,Onboarding UX Flow
Mobile App Developer,5500,58,94.83,Network Error Handling Spec
Full Stack Developer,3000,55,54.55,Database ERD
Frontend Developer,8000,38,210.53,Performance Benchmarks
Full Stack Developer,6000,55,109.09,Payment Gateway Integration Doc
UI/UX Designer,4200,60,70.0,Usability Testing Report
Backend Developer,6000,40,150.0,Data Retention Policy
Full Stack Developer,6000,58,103.45,Authentication and Security
Backend Developer,9000,38,236.84,Error Handling Standards
UI/UX Designer,1000,70,14.29,Brand Style Guide
UI/UX Designer,6500,40,162.5,Accessibility Requirements
Mobile App Developer,8000,38,210.53,Device and OS Target List
Full Stack Developer,7000,38,184.21,Admin Panel Requirements
Frontend Developer,800,60,13.33,SEO and Keywords Strategy
Frontend Developer,1000,70,14.29,SEO and Keywords Strategy
Frontend Developer,1200,80,15.0,SEO and Keywords Strategy
Frontend Developer,1500,70,21.43,SEO and Keywords Strategy
Frontend Developer,2000,80,25.0,SEO and Keywords Strategy
Frontend Developer,2500,70,35.71,SEO and Keywords Strategy
Frontend Developer,2800,75,37.33,Third-Party Integrations List
Frontend Developer,3000,80,37.5,Third-Party Integrations List
Frontend Developer,3200,75,42.67,Third-Party Integrations List
Frontend Developer,3500,80,43.75,Third-Party Integrations List
Frontend Developer,3000,55,54.55,Browser Compatibility Matrix
Frontend Developer,3500,60,58.33,Browser Compatibility Matrix
Frontend Developer,4000,60,66.67,Responsive Design Spec
Frontend Developer,4200,55,76.36,Responsive Design Spec
Frontend Developer,4500,55,81.82,State Management Plan
Frontend Developer,5000,60,83.33,State Management Plan
Frontend Developer,5000,55,90.91,Browser Compatibility Matrix
Frontend Developer,5500,55,100.0,Responsive Design Spec
Frontend Developer,6000,55,109.09,State Management Plan
Frontend Developer,6500,55,118.18,Third-Party Integrations List
Frontend Developer,5500,38,144.74,Performance Benchmarks
Frontend Developer,6000,38,157.89,UI Component Specifications
Frontend Developer,6500,38,171.05,Frontend Tech Stack Agreement
Frontend Developer,7000,40,175.0,Component Testing Standards
Frontend Developer,7500,40,187.5,Project Scope Statement
Frontend Developer,8000,40,200.0,Performance Benchmarks
Frontend Developer,8500,40,212.5,UI Component Specifications
Frontend Developer,9000,40,225.0,Component Testing Standards
Frontend Developer,9500,42,226.19,Frontend Tech Stack Agreement
Frontend Developer,9800,43,227.91,Project Scope Statement
Frontend Developer,4200,60,70.0,Project Scope Statement
Frontend Developer,4800,60,80.0,Project Scope Statement
Frontend Developer,5000,58,86.21,Browser Compatibility Matrix
Frontend Developer,5500,58,94.83,Performance Benchmarks
Frontend Developer,6000,58,103.45,UI Component Specifications
Frontend Developer,6500,58,112.07,State Management Plan
Frontend Developer,3800,60,63.33,Third-Party Integrations List
Frontend Developer,4000,55,72.73,SEO and Keywords Strategy
Frontend Developer,4500,60,75.0,Responsive Design Spec
Frontend Developer,5500,50,110.0,Browser Compatibility Matrix
Frontend Developer,1800,75,24.0,SEO and Keywords Strategy
Frontend Developer,2200,70,31.43,Third-Party Integrations List
Frontend Developer,2400,75,32.0,Third-Party Integrations List
Frontend Developer,3500,75,46.67,SEO and Keywords Strategy
Frontend Developer,1000,65,15.38,SEO and Keywords Strategy
Frontend Developer,2600,72,36.11,Third-Party Integrations List
Frontend Developer,2000,65,30.77,SEO and Keywords Strategy
Frontend Developer,3100,78,39.74,Third-Party Integrations List
Frontend Developer,1600,68,23.53,SEO and Keywords Strategy
Frontend Developer,2900,76,38.16,Third-Party Integrations List
Backend Developer,800,60,13.33,Health Check Endpoint Spec
Backend Developer,1000,70,14.29,Health Check Endpoint Spec
Backend Developer,1200,80,15.0,Health Check Endpoint Spec
Backend Developer,1800,75,24.0,Health Check Endpoint Spec
Backend Developer,2200,70,31.43,Health Check Endpoint Spec
Backend Developer,2500,70,35.71,Rate Limiting Policy
Backend Developer,3000,80,37.5,Rate Limiting Policy
Backend Developer,3200,75,42.67,API Response Envelope Standard
Backend Developer,3500,80,43.75,Rate Limiting Policy
Backend Developer,3500,75,46.67,API Response Envelope Standard
Backend Developer,3000,55,54.55,API Response Envelope Standard
Backend Developer,3800,60,63.33,Database ERD
Backend Developer,4000,55,72.73,Rate Limiting Policy
Backend Developer,4500,55,81.82,Database ERD
Backend Developer,5000,60,83.33,API Response Envelope Standard
Backend Developer,5000,55,90.91,Database ERD
Backend Developer,5500,55,100.0,Rate Limiting Policy
Backend Developer,6000,55,109.09,Database ERD
Backend Developer,6500,58,112.07,Health Check Endpoint Spec
Backend Developer,6500,55,118.18,API Response Envelope Standard
Backend Developer,5500,38,144.74,API Documentation
Backend Developer,6000,38,157.89,Authentication and Security
Backend Developer,6500,38,171.05,Error Handling Standards
Backend Developer,7000,40,175.0,Database Migration Plan
Backend Developer,7500,40,187.5,GDPR Compliance Checklist
Backend Developer,8000,40,200.0,Data Retention Policy
Backend Developer,8500,40,212.5,API Documentation
Backend Developer,9000,40,225.0,Authentication and Security
Backend Developer,9500,42,226.19,GDPR Compliance Checklist
Backend Developer,9800,43,227.91,Database Migration Plan
Backend Developer,4200,60,70.0,Database ERD
Backend Developer,4800,60,80.0,Rate Limiting Policy
Backend Developer,5500,58,94.83,Database ERD
Backend Developer,6000,58,103.45,Health Check Endpoint Spec
Backend Developer,7000,38,184.21,Error Handling Standards
Backend Developer,7500,38,197.37,API Documentation
Backend Developer,8000,38,210.53,GDPR Compliance Checklist
Backend Developer,8500,38,223.68,Data Retention Policy
Backend Developer,1500,70,21.43,Health Check Endpoint Spec
Backend Developer,2800,75,37.33,API Response Envelope Standard
Backend Developer,2000,80,25.0,Health Check Endpoint Spec
Backend Developer,4000,60,66.67,Database ERD
Backend Developer,5000,50,100.0,Rate Limiting Policy
Backend Developer,6000,40,150.0,API Documentation
Backend Developer,7000,45,155.56,Authentication and Security
Backend Developer,8000,45,177.78,Error Handling Standards
Backend Developer,9000,45,200.0,Database Migration Plan
Backend Developer,3500,60,58.33,Rate Limiting Policy
Backend Developer,4500,60,75.0,API Response Envelope Standard
Backend Developer,5500,50,110.0,Database ERD
Full Stack Developer,800,60,13.33,Project Scope Statement
Full Stack Developer,1200,80,15.0,Project Scope Statement
Full Stack Developer,2000,80,25.0,Project Scope Statement
Full Stack Developer,2500,70,35.71,Project Scope Statement
Full Stack Developer,3000,80,37.5,Project Scope Statement
Full Stack Developer,3500,80,43.75,Project Scope Statement
Full Stack Developer,3500,75,46.67,Project Scope Statement
Full Stack Developer,1500,70,21.43,Project Scope Statement
Full Stack Developer,1800,75,24.0,Project Scope Statement
Full Stack Developer,2800,75,37.33,Project Scope Statement
Full Stack Developer,3800,60,63.33,Database ERD
Full Stack Developer,4000,55,72.73,Database ERD
Full Stack Developer,4500,55,81.82,API Documentation
Full Stack Developer,5000,60,83.33,API Documentation
Full Stack Developer,5000,55,90.91,Database ERD
Full Stack Developer,5500,55,100.0,API Documentation
Full Stack Developer,6000,55,109.09,Database ERD
Full Stack Developer,6500,55,118.18,Performance Benchmarks
Full Stack Developer,4200,60,70.0,Database ERD
Full Stack Developer,4800,60,80.0,API Documentation
Full Stack Developer,6000,38,157.89,Authentication and Security
Full Stack Developer,6500,38,171.05,Deployment Checklist
Full Stack Developer,7000,40,175.0,User Roles and Permissions Matrix
Full Stack Developer,7500,40,187.5,Payment Gateway Integration Doc
Full Stack Developer,8000,40,200.0,Logging and Audit Trail Spec
Full Stack Developer,8500,40,212.5,Admin Panel Requirements
Full Stack Developer,9000,40,225.0,Deployment Checklist
Full Stack Developer,9500,42,226.19,User Roles and Permissions Matrix
Full Stack Developer,9800,43,227.91,Payment Gateway Integration Doc
Full Stack Developer,7000,38,184.21,Authentication and Security
Full Stack Developer,5500,38,144.74,Performance Benchmarks
Full Stack Developer,7500,38,197.37,Logging and Audit Trail Spec
Full Stack Developer,8000,38,210.53,Admin Panel Requirements
Full Stack Developer,8500,38,223.68,Deployment Checklist
Full Stack Developer,3000,55,54.55,Database ERD
Full Stack Developer,3500,60,58.33,API Documentation
Full Stack Developer,4000,60,66.67,Performance Benchmarks
Full Stack Developer,6000,40,150.0,Authentication and Security
Full Stack Developer,7000,45,155.56,Deployment Checklist
Full Stack Developer,8000,45,177.78,User Roles and Permissions Matrix
Full Stack Developer,5500,50,110.0,API Documentation
Full Stack Developer,6500,58,112.07,Database ERD
Full Stack Developer,9000,45,200.0,Payment Gateway Integration Doc
Full Stack Developer,2200,70,31.43,Project Scope Statement
Full Stack Developer,3200,75,42.67,Project Scope Statement
Full Stack Developer,4500,60,75.0,Database ERD
Full Stack Developer,5000,50,100.0,API Documentation
Full Stack Developer,6500,40,162.5,Authentication and Security
Full Stack Developer,7500,45,166.67,Deployment Checklist
Full Stack Developer,9000,38,236.84,Admin Panel Requirements
UI/UX Designer,800,60,13.33,Brand Style Guide
UI/UX Designer,1000,70,14.29,Brand Style Guide
UI/UX Designer,1200,80,15.0,Brand Style Guide
UI/UX Designer,1800,75,24.0,User Persona Profiles
UI/UX Designer,2200,70,31.43,User Persona Profiles
UI/UX Designer,2500,70,35.71,Brand Style Guide
UI/UX Designer,3000,80,37.5,User Persona Profiles
UI/UX Designer,3200,75,42.67,Brand Style Guide
UI/UX Designer,3500,80,43.75,User Persona Profiles
UI/UX Designer,3500,75,46.67,Brand Style Guide
UI/UX Designer,3000,55,54.55,Usability Testing Report
UI/UX Designer,3500,60,58.33,Wireframes and Mockups
UI/UX Designer,4000,60,66.67,Usability Testing Report
UI/UX Designer,4200,55,76.36,Wireframes and Mockups
UI/UX Designer,4500,55,81.82,Usability Testing Report
UI/UX Designer,5000,60,83.33,Wireframes and Mockups
UI/UX Designer,5000,55,90.91,Usability Testing Report
UI/UX Designer,5500,55,100.0,Wireframes and Mockups
UI/UX Designer,6000,55,109.09,Usability Testing Report
UI/UX Designer,6500,55,118.18,Wireframes and Mockups
UI/UX Designer,5500,38,144.74,Figma or XD Source Files
UI/UX Designer,6000,38,157.89,Accessibility Requirements
UI/UX Designer,6500,38,171.05,Prototype Link and Credentials
UI/UX Designer,7000,40,175.0,Component Library Documentation
UI/UX Designer,7500,40,187.5,Design Tokens Export
UI/UX Designer,8000,40,200.0,Onboarding UX Flow
UI/UX Designer,8500,40,212.5,Figma or XD Source Files
UI/UX Designer,9000,40,225.0,Accessibility Requirements
UI/UX Designer,9500,42,226.19,Component Library Documentation
UI/UX Designer,9800,43,227.91,Design Tokens Export
UI/UX Designer,4200,60,70.0,Wireframes and Mockups
UI/UX Designer,4800,60,80.0,Usability Testing Report
UI/UX Designer,5500,58,94.83,Wireframes and Mockups
UI/UX Designer,6000,58,103.45,Usability Testing Report
UI/UX Designer,7000,38,184.21,Prototype Link and Credentials
UI/UX Designer,7500,38,197.37,Design Tokens Export
UI/UX Designer,8000,38,210.53,Onboarding UX Flow
UI/UX Designer,8500,38,223.68,Component Library Documentation
UI/UX Designer,1500,70,21.43,Brand Style Guide
UI/UX Designer,2800,75,37.33,User Persona Profiles
UI/UX Designer,3800,60,63.33,Wireframes and Mockups
UI/UX Designer,4000,55,72.73,Usability Testing Report
UI/UX Designer,5500,50,110.0,Wireframes and Mockups
UI/UX Designer,6000,40,150.0,Figma or XD Source Files
UI/UX Designer,7000,45,155.56,Accessibility Requirements
UI/UX Designer,8000,45,177.78,Prototype Link and Credentials
UI/UX Designer,9000,45,200.0,Design Tokens Export
UI/UX Designer,6500,40,162.5,Component Library Documentation
UI/UX Designer,7500,45,166.67,Figma or XD Source Files
UI/UX Designer,9000,38,236.84,Onboarding UX Flow
Mobile App Developer,800,60,13.33,Push Notification Plan
Mobile App Developer,1000,70,14.29,Push Notification Plan
Mobile App Developer,1200,80,15.0,Push Notification Plan
Mobile App Developer,1800,75,24.0,Push Notification Plan
Mobile App Developer,2200,70,31.43,Push Notification Plan
Mobile App Developer,2500,70,35.71,Device and OS Target List
Mobile App Developer,3000,80,37.5,Device and OS Target List
Mobile App Developer,3200,75,42.67,Push Notification Plan
Mobile App Developer,3500,80,43.75,Device and OS Target List
Mobile App Developer,3500,75,46.67,Push Notification Plan
Mobile App Developer,3000,55,54.55,Network Error Handling Spec
Mobile App Developer,3500,60,58.33,App Store Assets Package
Mobile App Developer,4000,60,66.67,Network Error Handling Spec
Mobile App Developer,4200,55,76.36,App Store Assets Package
Mobile App Developer,4500,55,81.82,Network Error Handling Spec
Mobile App Developer,5000,60,83.33,App Store Assets Package
Mobile App Developer,5000,55,90.91,Network Error Handling Spec
Mobile App Developer,5500,55,100.0,App Store Assets Package
Mobile App Developer,6000,55,109.09,Network Error Handling Spec
Mobile App Developer,6500,55,118.18,App Store Assets Package
Mobile App Developer,5500,38,144.74,App Permissions Justification
Mobile App Developer,6000,38,157.89,Mobile Security Checklist
Mobile App Developer,6500,38,171.05,Analytics Event Tracking Spec
Mobile App Developer,7000,40,175.0,Deep Linking Configuration
Mobile App Developer,7500,40,187.5,App Onboarding Flow Spec
Mobile App Developer,8000,40,200.0,App Accessibility Guidelines
Mobile App Developer,8500,40,212.5,Mobile Security Checklist
Mobile App Developer,9000,40,225.0,Analytics Event Tracking Spec
Mobile App Developer,9500,42,226.19,App Onboarding Flow Spec
Mobile App Developer,9800,43,227.91,App Accessibility Guidelines
Mobile App Developer,4200,60,70.0,App Store Assets Package
Mobile App Developer,4800,60,80.0,Network Error Handling Spec
Mobile App Developer,5500,58,94.83,App Store Assets Package
Mobile App Developer,7000,38,184.21,Deep Linking Configuration
Mobile App Developer,7500,38,197.37,App Onboarding Flow Spec
Mobile App Developer,8000,38,210.53,App Accessibility Guidelines
Mobile App Developer,1500,70,21.43,Push Notification Plan
Mobile App Developer,2800,75,37.33,Device and OS Target List
Mobile App Developer,3800,60,63.33,Network Error Handling Spec
Mobile App Developer,4000,55,72.73,App Store Assets Package
Mobile App Developer,5500,50,110.0,Network Error Handling Spec
Mobile App Developer,6000,40,150.0,App Permissions Justification
Mobile App Developer,7000,45,155.56,Mobile Security Checklist
Mobile App Developer,8000,45,177.78,Analytics Event Tracking Spec
Mobile App Developer,9000,45,200.0,Deep Linking Configuration
Mobile App Developer,6500,40,162.5,App Permissions Justification
Mobile App Developer,7500,45,166.67,Mobile Security Checklist
Mobile App Developer,9000,38,236.84,App Onboarding Flow Spec
Mobile App Developer,8500,38,223.68,App Accessibility Guidelines
Mobile App Developer,6000,58,103.45,Network Error Handling Spec
DevOps Engineer,800,60,13.33,Environment Parity Checklist
DevOps Engineer,1000,70,14.29,Environment Parity Checklist
DevOps Engineer,1200,80,15.0,Environment Parity Checklist
DevOps Engineer,1800,75,24.0,Environment Parity Checklist
DevOps Engineer,2200,70,31.43,Environment Parity Checklist
DevOps Engineer,2500,70,35.71,Environment Parity Checklist
DevOps Engineer,3000,80,37.5,Environment Parity Checklist
DevOps Engineer,3200,75,42.67,Environment Parity Checklist
DevOps Engineer,3500,80,43.75,Environment Parity Checklist
DevOps Engineer,3500,75,46.67,Environment Parity Checklist
DevOps Engineer,3000,55,54.55,Docker and Container Config
DevOps Engineer,3500,60,58.33,Docker and Container Config
DevOps Engineer,4000,60,66.67,Docker and Container Config
DevOps Engineer,4200,55,76.36,Docker and Container Config
DevOps Engineer,4500,55,81.82,Docker and Container Config
DevOps Engineer,5000,60,83.33,Docker and Container Config
DevOps Engineer,5000,55,90.91,Network Topology Diagram
DevOps Engineer,5500,55,100.0,Network Topology Diagram
DevOps Engineer,6000,55,109.09,Network Topology Diagram
DevOps Engineer,6500,55,118.18,Network Topology Diagram
DevOps Engineer,5500,38,144.74,CI/CD Pipeline Configuration
DevOps Engineer,6000,38,157.89,Infrastructure Architecture
DevOps Engineer,6500,38,171.05,Secrets Management Policy
DevOps Engineer,7000,40,175.0,Load Testing Report
DevOps Engineer,7500,40,187.5,Observability Stack Architecture
DevOps Engineer,8000,40,200.0,Rollback Decision Playbook
DevOps Engineer,8500,40,212.5,Disaster Recovery Plan
DevOps Engineer,9000,40,225.0,CI/CD Pipeline Configuration
DevOps Engineer,9500,42,226.19,Infrastructure Architecture
DevOps Engineer,9800,43,227.91,Secrets Management Policy
DevOps Engineer,4200,60,70.0,Docker and Container Config
DevOps Engineer,4800,60,80.0,Network Topology Diagram
DevOps Engineer,5500,58,94.83,Docker and Container Config
DevOps Engineer,6000,58,103.45,Network Topology Diagram
DevOps Engineer,7000,38,184.21,Load Testing Report
DevOps Engineer,7500,38,197.37,Observability Stack Architecture
DevOps Engineer,8000,38,210.53,Rollback Decision Playbook
DevOps Engineer,8500,38,223.68,Disaster Recovery Plan
DevOps Engineer,1500,70,21.43,Environment Parity Checklist
DevOps Engineer,2800,75,37.33,Environment Parity Checklist
DevOps Engineer,3800,60,63.33,Docker and Container Config
DevOps Engineer,4000,55,72.73,Network Topology Diagram
DevOps Engineer,5500,50,110.0,Docker and Container Config
DevOps Engineer,6000,40,150.0,CI/CD Pipeline Configuration
DevOps Engineer,7000,45,155.56,Infrastructure Architecture
DevOps Engineer,8000,45,177.78,Secrets Management Policy
DevOps Engineer,9000,45,200.0,Load Testing Report
DevOps Engineer,6500,40,162.5,Observability Stack Architecture
DevOps Engineer,7500,45,166.67,Rollback Decision Playbook
DevOps Engineer,9000,38,236.84,Disaster Recovery Plan
Frontend Developer,15000,30,500.0,Performance Benchmarks
Frontend Developer,15000,30,500.0,Responsive Design Spec
Frontend Developer,15000,30,500.0,Frontend Tech Stack Agreement
Frontend Developer,15000,30,500.0,Cross-Device Testing Report
Frontend Developer,15000,30,500.0,Accessibility Audit Report
